1, 2
(150, 163)
(150, 144)
(150, 243)
(14, 29)
(14, 23)
(14, 26)
(28, 4)
(28, 131)
(28, 263)
(176, 134)
(176, 183)
(176, 184)
(234, 15)
(234, 287)
(234, 56)
(190, 318)
(190, 175)
(190, 138)
(283, 231)
(283, 172)
(283, 126)
(163, 304)
(163, 288)
(163, 253)
(15, 219)
(15, 298)
(15, 72)
(29, 5)
(29, 194)
(29, 36)
(318, 232)
(318, 66)
(318, 255)
(4, 17)
(4, 89)
(4, 10)
(231, 271)
(231, 320)
(231, 40)
(134, 162)
(134, 317)
(134, 142)
(156, 167)
(156, 164)
(156, 145)
(140, 225)
(140, 45)
(140, 181)
(180, 141)
(180, 310)
(180, 217)
(22, 2)
(22, 221)
(22, 160)
(329, 265)
(329, 314)
(329, 179)
(8, 24)
(8, 16)
(8, 238)
(35, 9)
(35, 43)
(35, 100)
(304, 150)
(304, 157)
(304, 291)
(17, 28)
(17, 117)
(17, 25)
(219, 234)
(219, 273)
(219, 204)
(271, 283)
(271, 161)
(271, 278)
(5, 14)
(5, 12)
(5, 203)
(162, 176)
(162, 235)
(162, 293)
(232, 190)
(232, 135)
(232, 80)
(250, 156)
(250, 241)
(250, 295)
(170, 180)
(170, 177)
(170, 299)
(277, 329)
(277, 284)
(277, 285)
(21, 35)
(21, 259)
(21, 31)
(239, 140)
(239, 130)
(239, 84)
(11, 22)
(11, 18)
(11, 206)
(226, 8)
(226, 282)
(226, 211)
(167, 250)
(167, 116)
(167, 151)
(265, 277)
(265, 47)
(265, 153)
(225, 239)
(225, 264)
(225, 233)
(24, 226)
(24, 267)
(24, 30)
(141, 170)
(141, 92)
(141, 229)
(9, 21)
(9, 246)
(9, 113)
(2, 11)
(2, 326)
(2, 6)
(0, 226)
(0, 2)
(0, 3)
(121, 239)
(121, 9)
(121, 133)
(236, 277)
(236, 141)
(236, 321)
(303, 250)
(303, 24)
(303, 171)
(218, 11)
(218, 225)
(218, 228)
(257, 21)
(257, 265)
(257, 268)
(158, 170)
(158, 167)
(158, 173)
(192, 194)
(192, 195)
(192, 82)
(81, 89)
(81, 95)
(81, 120)
(118, 317)
(118, 98)
(118, 256)
(292, 298)
(292, 305)
(292, 41)
(59, 66)
(59, 70)
(59, 254)
(136, 320)
(136, 94)
(136, 39)
(294, 288)
(294, 307)
(294, 51)
(48, 274)
(48, 50)
(48, 51)
(216, 123)
(216, 222)
(216, 82)
(104, 334)
(104, 112)
(104, 120)
(115, 240)
(115, 205)
(115, 256)
(325, 333)
(325, 332)
(325, 41)
(245, 252)
(245, 107)
(245, 254)
(91, 270)
(91, 316)
(91, 39)
(240, 242)
(240, 243)
(240, 130)
(333, 85)
(333, 26)
(333, 284)
(252, 260)
(252, 263)
(252, 241)
(270, 207)
(270, 184)
(270, 18)
(274, 330)
(274, 56)
(274, 259)
(123, 108)
(123, 138)
(123, 177)
(334, 319)
(334, 126)
(334, 282)
(96, 322)
(96, 99)
(96, 98)
(201, 102)
(201, 213)
(201, 305)
(276, 313)
(276, 237)
(276, 70)
(86, 269)
(86, 114)
(86, 94)
(69, 79)
(69, 83)
(69, 307)
(208, 61)
(208, 54)
(208, 195)
(42, 200)
(42, 159)
(42, 95)
(288, 291)
(288, 290)
(288, 178)
(194, 203)
(194, 198)
(194, 182)
(89, 25)
(89, 74)
(89, 275)
(317, 293)
(317, 324)
(317, 146)
(298, 204)
(298, 289)
(298, 7)
(66, 80)
(66, 197)
(66, 139)
(320, 278)
(320, 327)
(320, 328)
(144, 34)
(144, 147)
(144, 146)
(23, 308)
(23, 106)
(23, 7)
(131, 196)
(131, 105)
(131, 139)
(183, 272)
(183, 223)
(183, 328)
(287, 132)
(287, 188)
(287, 178)
